subscription_id,user_id,subscription_type,subscription_start_date,subscription_end_date,payment_method,premium_offer_shown,premium_offer_clicked,upgraded_to_premium
SUB_0027,USR_03156,Monthly Premium,2025-01-05,2025-02-04,Apple Pay,1,1,1
SUB_0028,USR_03955,Monthly Premium,2025-06-19,,Credit Card,1,1,1
SUB_0029,USR_02785,Monthly Premium,2025-02-22,,Apple Pay,1,1,1
SUB_0030,USR_06380,Monthly Premium,2025-06-05,,Google Pay,1,1,1
SUB_0031,USR_07278,Monthly Premium,2025-03-25,,Credit Card,1,1,1
SUB_0032,USR_01900,Annual Premium,2025-03-27,2025-04-26,Credit Card,1,1,1
SUB_0033,USR_09912,Annual Premium,2025-05-01,,Apple Pay,1,0,1
SUB_0034,USR_02499,Monthly Premium,2025-01-25,,Credit Card,1,0,1
SUB_0035,USR_02426,Monthly Premium,2025-05-14,2025-06-13,Apple Pay,1,1,1
SUB_0036,USR_03843,Monthly Premium,2025-01-21,,Credit Card,1,1,1
SUB_0037,USR_07909,Monthly Premium,2025-04-28,2025-05-28,Credit Card,1,1,1
SUB_0038,USR_06898,Monthly Premium,2025-01-21,,PayPal,1,1,1
SUB_0039,USR_02472,Monthly Premium,2025-05-04,,Credit Card,1,1,1
SUB_0040,USR_03829,Monthly Premium,2025-04-21,,Apple Pay,1,1,1
SUB_0041,USR_01271,Monthly Premium,2025-05-31,2025-06-30,Credit Card,1,1,1
SUB_0042,USR_08530,Monthly Premium,2025-02-20,,Credit Card,1,0,1
SUB_0043,USR_09571,Monthly Premium,2025-04-11,,Credit Card,1,1,1
SUB_0044,USR_01104,Monthly Premium,2025-01-29,,Credit Card,1,1,1
SUB_0045,USR_01391,Annual Premium,2025-04-15,,Credit Card,1,0,1
SUB_0046,USR_00509,Monthly Premium,2025-02-06,2025-03-08,Google Pay,1,1,1
SUB_0047,USR_09520,Monthly Premium,2025-04-01,,Apple Pay,1,1,1
SUB_0048,USR_03142,Monthly Premium,2025-06-21,,Credit Card,1,1,1
SUB_0049,USR_06451,Annual Premium,2025-04-10,,Credit Card,1,1,1
SUB_0050,USR_02117,Monthly Premium,2025-07-01,2025-07-31,PayPal,1,1,1
SUB_0051,USR_08041,Monthly Premium,2025-02-08,,Apple Pay,1,1,1
SUB_0052,USR_05151,Monthly Premium,2025-07-01,,Apple Pay,1,1,1
SUB_0053,USR_07796,Monthly Premium,2025-05-27,2025-06-26,Credit Card,1,1,1
SUB_0054,USR_09613,Monthly Premium,2025-05-23,,Apple Pay,1,1,1
SUB_0055,USR_09685,Monthly Premium,2025-03-14,2025-04-13,Credit Card,1,1,1
SUB_0056,USR_03371,Monthly Premium,2025-02-06,,Google Pay,1,1,1
SUB_0057,USR_01072,Monthly Premium,2025-05-05,,PayPal,1,1,1
SUB_0058,USR_01395,Monthly Premium,2025-04-19,,PayPal,1,1,1
SUB_0059,USR_08629,Monthly Premium,2025-01-24,,Credit Card,1,1,1
SUB_0060,USR_06619,Monthly Premium,2025-04-18,2025-05-18,Google Pay,1,1,1
SUB_0061,USR_07451,Monthly Premium,2025-01-24,,Credit Card,1,1,1
SUB_0062,USR_05676,Monthly Premium,2025-06-02,,Google Pay,1,1,1
SUB_0063,USR_05798,Monthly Premium,2025-05-18,,Credit Card,1,1,1
SUB_0064,USR_00059,Monthly Premium,2025-02-08,,PayPal,1,1,1
SUB_0065,USR_08693,Monthly Premium,2025-03-08,2025-04-07,Google Pay,1,1,1
SUB_0066,USR_09816,Monthly Premium,2025-05-08,,Credit Card,1,1,1
SUB_0067,USR_02035,Monthly Premium,2025-05-01,2025-05-31,Apple Pay,1,1,1
SUB_0068,USR_06933,Monthly Premium,2025-03-31,,Apple Pay,1,1,1
SUB_0069,USR_01150,Annual Premium,2025-02-27,,Apple Pay,1,1,1
SUB_0070,USR_05190,Monthly Premium,2025-06-01,,Credit Card,1,1,1
SUB_0071,USR_00426,Monthly Premium,2025-03-08,2025-04-07,Apple Pay,1,1,1
SUB_0072,USR_02532,Monthly Premium,2025-07-06,,Credit Card,1,1,1
SUB_0073,USR_07035,Monthly Premium,2025-02-06,,Credit Card,1,1,1
SUB_0074,USR_00730,Monthly Premium,2025-06-18,,Apple Pay,1,1,1
SUB_0075,USR_08310,Monthly Premium,2025-01-17,,Google Pay,1,1,1
SUB_0076,USR_03578,Annual Premium,2025-05-27,,Apple Pay,1,1,1
SUB_0077,USR_08433,Monthly Premium,2025-06-02,2025-07-02,Google Pay,1,1,1
SUB_0078,USR_09717,Monthly Premium,2025-03-16,,Credit Card,1,1,1
SUB_0079,USR_05983,Monthly Premium,2025-02-15,,Apple Pay,1,1,1
SUB_0080,USR_00299,Monthly Premium,2025-01-29,2025-02-28,Apple Pay,1,1,1
SUB_0081,USR_02992,Monthly Premium,2025-04-18,,Apple Pay,1,1,1
SUB_0082,USR_00196,Annual Premium,2025-02-25,,Apple Pay,1,1,1
SUB_0083,USR_03716,Monthly Premium,2025-03-06,2025-04-05,Apple Pay,1,1,1
SUB_0084,USR_01637,Monthly Premium,2025-02-12,,Credit Card,1,0,1
SUB_0085,USR_01379,Annual Premium,2025-05-16,2025-06-15,Credit Card,1,1,1
SUB_0086,USR_08082,Monthly Premium,2025-02-06,,Apple Pay,1,1,1
SUB_0087,USR_09161,Monthly Premium,2025-06-26,,Apple Pay,1,1,1
SUB_0088,USR_07535,Monthly Premium,2025-01-27,,Credit Card,1,1,1
SUB_0089,USR_07952,Annual Premium,2025-01-10,2025-02-09,Credit Card,1,1,1
SUB_0090,USR_04879,Monthly Premium,2025-02-06,,Credit Card,1,1,1
SUB_0091,USR_02893,Monthly Premium,2025-03-14,2025-04-13,Apple Pay,1,1,1
SUB_0092,USR_08941,Monthly Premium,2025-02-24,,Apple Pay,1,1,1
SUB_0093,USR_02339,Monthly Premium,2025-03-15,,Google Pay,1,1,1
SUB_0094,USR_00514,Monthly Premium,2025-06-12,2025-07-12,Credit Card,1,1,1
SUB_0095,USR_04480,Monthly Premium,2025-04-16,,Credit Card,1,1,1
SUB_0096,USR_01923,Monthly Premium,2025-01-11,,Google Pay,1,1,1
SUB_0097,USR_07007,Monthly Premium,2025-02-27,2025-03-29,Credit Card,1,1,1
SUB_0098,USR_04082,Monthly Premium,2025-02-09,,Credit Card,1,1,1
SUB_0099,USR_03750,Monthly Premium,2025-06-19,2025-07-19,Credit Card,1,0,1
SUB_0100,USR_08228,Monthly Premium,2025-05-20,,PayPal,1,1,1
SUB_0101,USR_07677,Monthly Premium,2025-01-25,,Apple Pay,1,1,1
SUB_0102,USR_08251,Monthly Premium,2025-03-04,,Credit Card,1,1,1
SUB_0103,USR_03458,Monthly Premium,2025-05-08,,Apple Pay,1,1,1
SUB_0104,USR_02043,Monthly Premium,2025-03-30,2025-04-29,Credit Card,1,1,1
SUB_0105,USR_02092,Monthly Premium,2025-02-07,,Credit Card,1,1,1
SUB_0106,USR_06615,Monthly Premium,2025-01-15,,Apple Pay,1,1,1
SUB_0107,USR_03066,Monthly Premium,2025-02-05,,Credit Card,1,1,1
SUB_0108,USR_06356,Monthly Premium,2025-06-26,2025-07-26,Credit Card,1,1,1
SUB_0109,USR_07230,Annual Premium,2025-04-20,,Credit Card,1,0,1
SUB_0110,USR_06140,Monthly Premium,2025-06-30,,Apple Pay,1,1,1
SUB_0111,USR_06127,Monthly Premium,2025-06-16,,Credit Card,1,1,1
SUB_0112,USR_00563,Monthly Premium,2025-04-29,,Credit Card,1,1,1
SUB_0113,USR_03058,Monthly Premium,2025-01-23,,Apple Pay,1,1,1
SUB_0114,USR_06622,Monthly Premium,2025-06-18,2025-07-18,Credit Card,1,1,1
SUB_0115,USR_03301,Monthly Premium,2025-06-27,,Credit Card,1,1,1
SUB_0116,USR_00354,Annual Premium,2025-04-17,,PayPal,1,1,1
SUB_0117,USR_08753,Annual Premium,2025-06-24,2025-07-24,Credit Card,1,0,1
SUB_0118,USR_01852,Monthly Premium,2025-01-26,2025-02-25,PayPal,1,1,1
SUB_0119,USR_08867,Annual Premium,2025-06-01,,Apple Pay,1,1,1
SUB_0120,USR_01869,Monthly Premium,2025-04-09,2025-05-09,PayPal,1,1,1
SUB_0121,USR_02322,Annual Premium,2025-02-06,,Google Pay,1,1,1
SUB_0122,USR_09104,Monthly Premium,2025-01-31,,Credit Card,1,1,1
SUB_0123,USR_01990,Monthly Premium,2025-02-02,,Google Pay,1,1,1
SUB_0124,USR_06138,Monthly Premium,2025-04-09,,Credit Card,1,1,1
SUB_0125,USR_05468,Monthly Premium,2025-02-13,,Apple Pay,1,1,1
SUB_0126,USR_05089,Monthly Premium,2025-03-27,,Credit Card,1,1,1
SUB_0127,USR_03899,Monthly Premium,2025-01-26,2025-02-25,PayPal,1,1,1
SUB_0128,USR_04985,Monthly Premium,2025-04-09,,Apple Pay,1,1,1
SUB_0129,USR_08803,Monthly Premium,2025-03-17,2025-04-16,Credit Card,1,1,1
SUB_0130,USR_09097,Monthly Premium,2025-02-06,,Apple Pay,1,1,1
SUB_0131,USR_03905,Monthly Premium,2025-04-14,,Credit Card,1,1,1
SUB_0132,USR_03342,Monthly Premium,2025-05-27,,Credit Card,1,1,1
SUB_0133,USR_00668,Monthly Premium,2025-03-24,2025-04-23,Credit Card,1,1,1
SUB_0134,USR_07465,Monthly Premium,2025-01-19,2025-02-18,Credit Card,1,0,1
SUB_0135,USR_02052,Monthly Premium,2025-03-10,2025-04-09,Credit Card,1,1,1
SUB_0136,USR_05417,Monthly Premium,2025-02-18,,PayPal,1,1,1
SUB_0137,USR_03912,Annual Premium,2025-02-28,,Credit Card,1,1,1
SUB_0138,USR_08957,Monthly Premium,2025-03-30,,Credit Card,1,1,1
SUB_0139,USR_02625,Annual Premium,2025-06-08,,Credit Card,1,0,1
SUB_0140,USR_04204,Annual Premium,2025-03-15,,PayPal,1,0,1
SUB_0141,USR_05517,Monthly Premium,2025-04-30,,PayPal,1,1,1
SUB_0142,USR_09640,Monthly Premium,2025-01-16,2025-02-15,Credit Card,1,0,1
SUB_0143,USR_02056,Monthly Premium,2025-03-21,,PayPal,1,1,1
SUB_0144,USR_00263,Monthly Premium,2025-06-11,,Credit Card,1,1,1
SUB_0145,USR_03040,Monthly Premium,2025-03-24,2025-04-23,Credit Card,1,1,1
SUB_0146,USR_00751,Monthly Premium,2025-05-08,,Apple Pay,1,1,1
SUB_0147,USR_06400,Monthly Premium,2025-02-17,,Credit Card,1,1,1
SUB_0148,USR_05927,Annual Premium,2025-05-25,,Apple Pay,1,1,1
SUB_0149,USR_07716,Monthly Premium,2025-01-22,,Google Pay,1,0,1
SUB_0150,USR_03741,Monthly Premium,2025-06-14,2025-07-14,Google Pay,1,1,1
SUB_0151,USR_05846,Monthly Premium,2025-04-03,,Credit Card,1,1,1
SUB_0152,USR_03051,Monthly Premium,2025-03-28,2025-04-27,Credit Card,1,1,1
SUB_0153,USR_09651,Monthly Premium,2025-05-28,,PayPal,1,1,1
SUB_0154,USR_08521,Monthly Premium,2025-06-28,,Google Pay,1,0,1
SUB_0155,USR_09723,Monthly Premium,2025-03-30,,Apple Pay,1,1,1
SUB_0156,USR_07013,Monthly Premium,2025-04-04,,Credit Card,1,1,1
SUB_0157,USR_07672,Annual Premium,2025-04-17,,PayPal,1,1,1
SUB_0158,USR_00676,Monthly Premium,2025-04-11,2025-05-11,Apple Pay,1,1,1
SUB_0159,USR_04216,Annual Premium,2025-03-10,2025-04-09,Apple Pay,1,1,1
SUB_0160,USR_08711,Monthly Premium,2025-03-10,2025-04-09,Apple Pay,1,0,1
SUB_0161,USR_05729,Monthly Premium,2025-04-26,,Credit Card,1,1,1
SUB_0162,USR_04577,Monthly Premium,2025-02-18,,Google Pay,1,1,1
SUB_0163,USR_00297,Annual Premium,2025-04-30,2025-05-30,Credit Card,1,1,1
SUB_0164,USR_02132,Monthly Premium,2025-01-26,,Apple Pay,1,1,1
SUB_0165,USR_03901,Monthly Premium,2025-05-20,,Credit Card,1,1,1
SUB_0166,USR_03262,Monthly Premium,2025-01-09,,Google Pay,1,1,1
SUB_0167,USR_06550,Monthly Premium,2025-03-23,,Credit Card,1,1,1
SUB_0168,USR_05747,Monthly Premium,2025-03-25,,Credit Card,1,1,1
SUB_0169,USR_09008,Monthly Premium,2025-04-06,,Apple Pay,1,1,1
SUB_0170,USR_07774,Monthly Premium,2025-05-12,,Credit Card,1,1,1
SUB_0171,USR_08108,Monthly Premium,2025-03-10,,Apple Pay,1,1,1
SUB_0172,USR_03014,Monthly Premium,2025-04-12,2025-05-12,Credit Card,1,1,1
SUB_0173,USR_04238,Monthly Premium,2025-05-14,,Credit Card,1,1,1
SUB_0174,USR_06382,Monthly Premium,2025-05-31,2025-06-30,Credit Card,1,1,1
SUB_0175,USR_04752,Annual Premium,2025-05-17,,Google Pay,1,1,1
SUB_0176,USR_02071,Monthly Premium,2025-01-19,,Credit Card,1,1,1
SUB_0177,USR_01459,Annual Premium,2025-06-07,2025-07-07,Apple Pay,1,1,1
SUB_0178,USR_06171,Annual Premium,2025-04-07,,Apple Pay,1,1,1
SUB_0179,USR_04979,Monthly Premium,2025-06-16,,Google Pay,1,1,1
SUB_0180,USR_03438,Annual Premium,2025-02-28,,Credit Card,1,1,1
SUB_0181,USR_08100,Monthly Premium,2025-06-20,2025-07-20,Apple Pay,1,1,1
SUB_0182,USR_02700,Monthly Premium,2025-05-25,,PayPal,1,1,1
SUB_0183,USR_03616,Annual Premium,2025-01-16,2025-02-15,Credit Card,1,1,1
SUB_0184,USR_00035,Monthly Premium,2025-04-22,,Google Pay,1,1,1
SUB_0185,USR_03773,Monthly Premium,2025-05-05,2025-06-04,Apple Pay,1,1,1
SUB_0186,USR_01841,Monthly Premium,2025-06-04,,PayPal,1,1,1
SUB_0187,USR_06634,Monthly Premium,2025-06-05,,Credit Card,1,1,1
SUB_0188,USR_03951,Monthly Premium,2025-01-13,,Credit Card,1,1,1
SUB_0189,USR_08585,Annual Premium,2025-04-03,2025-05-03,Credit Card,1,1,1
SUB_0190,USR_08715,Monthly Premium,2025-05-06,,Apple Pay,1,1,1
SUB_0191,USR_04597,Monthly Premium,2025-04-28,2025-05-28,PayPal,1,1,1
SUB_0192,USR_03949,Annual Premium,2025-03-23,,Google Pay,1,1,1
SUB_0193,USR_04912,Monthly Premium,2025-03-19,,Apple Pay,1,1,1
SUB_0194,USR_00244,Monthly Premium,2025-03-31,,Credit Card,1,1,1
SUB_0195,USR_03960,Annual Premium,2025-03-10,2025-04-09,Credit Card,1,1,1
SUB_0196,USR_09034,Monthly Premium,2025-05-08,,PayPal,1,1,1
SUB_0197,USR_01924,Monthly Premium,2025-05-05,2025-06-04,Credit Card,1,1,1
SUB_0198,USR_04904,Monthly Premium,2025-06-11,2025-07-11,Apple Pay,1,1,1
SUB_0199,USR_05671,Monthly Premium,2025-06-02,,Credit Card,1,1,1
SUB_0200,USR_05021,Monthly Premium,2025-03-01,2025-03-31,Apple Pay,1,1,1
SUB_0201,USR_01264,Monthly Premium,2025-01-16,,Credit Card,1,1,1
SUB_0202,USR_04732,Monthly Premium,2025-05-23,2025-06-22,Apple Pay,1,1,1
SUB_0203,USR_01013,Monthly Premium,2025-03-02,2025-04-01,Google Pay,1,1,1
SUB_0204,USR_09420,Annual Premium,2025-05-31,2025-06-30,Apple Pay,1,0,1
SUB_0205,USR_01905,Monthly Premium,2025-06-19,2025-07-19,Credit Card,1,1,1
SUB_0206,USR_00780,Monthly Premium,2025-04-19,2025-05-19,Apple Pay,1,1,1
SUB_0207,USR_09610,Monthly Premium,2025-04-13,2025-05-13,Credit Card,1,1,1
SUB_0208,USR_06922,Monthly Premium,2025-04-24,2025-05-24,Apple Pay,1,1,1
SUB_0209,USR_04552,Monthly Premium,2025-02-15,,Credit Card,1,1,1
SUB_0210,USR_01959,Annual Premium,2025-04-18,2025-05-18,Apple Pay,1,1,1
SUB_0211,USR_07264,Annual Premium,2025-01-13,2025-02-12,Credit Card,1,1,1
SUB_0212,USR_06887,Monthly Premium,2025-06-13,2025-07-13,Apple Pay,1,1,1
SUB_0213,USR_01589,Annual Premium,2025-02-13,,Credit Card,1,1,1
SUB_0214,USR_00769,Monthly Premium,2025-02-24,,Credit Card,1,1,1
SUB_0215,USR_07912,Annual Premium,2025-04-03,,Credit Card,1,0,1
SUB_0216,USR_09319,Monthly Premium,2025-02-11,,Credit Card,1,1,1
SUB_0217,USR_05422,Monthly Premium,2025-01-08,,Apple Pay,1,1,1
SUB_0218,USR_01473,Monthly Premium,2025-06-14,,Credit Card,1,0,1
SUB_0219,USR_04845,Monthly Premium,2025-02-13,,Credit Card,1,1,1
SUB_0220,USR_08112,Annual Premium,2025-02-22,2025-03-24,Apple Pay,1,1,1
SUB_0221,USR_07530,Monthly Premium,2025-01-21,,Credit Card,1,1,1
SUB_0222,USR_05645,Annual Premium,2025-01-29,2025-02-28,Credit Card,1,1,1
SUB_0223,USR_09853,Monthly Premium,2025-02-20,2025-03-22,Credit Card,1,1,1
SUB_0224,USR_03403,Monthly Premium,2025-06-01,2025-07-01,Credit Card,1,1,1
SUB_0225,USR_01389,Monthly Premium,2025-06-27,2025-07-27,Google Pay,1,1,1
SUB_0226,USR_00618,Monthly Premium,2025-04-06,,PayPal,1,1,1
SUB_0227,USR_01743,Monthly Premium,2025-03-10,,Apple Pay,1,1,1
SUB_0228,USR_01190,Annual Premium,2025-05-01,2025-05-31,Credit Card,1,1,1
SUB_0229,USR_06039,Annual Premium,2025-05-09,,Credit Card,1,1,1
SUB_0230,USR_00286,Monthly Premium,2025-05-22,2025-06-21,Apple Pay,1,1,1
SUB_0231,USR_01626,Monthly Premium,2025-05-22,,Apple Pay,1,1,1
SUB_0232,USR_02241,Monthly Premium,2025-02-13,,Apple Pay,1,1,1
SUB_0233,USR_06283,Annual Premium,2025-05-30,,Apple Pay,1,1,1
SUB_0234,USR_03845,Monthly Premium,2025-04-17,,Credit Card,1,1,1
SUB_0235,USR_08804,Annual Premium,2025-04-23,2025-05-23,PayPal,1,1,1
SUB_0236,USR_03530,Monthly Premium,2025-01-22,,Google Pay,1,1,1
SUB_0237,USR_02428,Monthly Premium,2025-07-02,,Credit Card,1,1,1
SUB_0238,USR_06412,Monthly Premium,2025-05-04,,Google Pay,1,1,1
SUB_0239,USR_03106,Monthly Premium,2025-03-21,2025-04-20,Credit Card,1,1,1
SUB_0240,USR_03748,Monthly Premium,2025-01-19,,Google Pay,1,1,1
SUB_0241,USR_01798,Annual Premium,2025-06-07,,Credit Card,1,1,1
SUB_0242,USR_08720,Monthly Premium,2025-05-31,,Apple Pay,1,0,1
SUB_0243,USR_05398,Annual Premium,2025-05-29,2025-06-28,Credit Card,1,0,1
SUB_0244,USR_04408,Monthly Premium,2025-04-28,2025-05-28,Credit Card,1,1,1
SUB_0245,USR_02220,Monthly Premium,2025-06-14,2025-07-14,Google Pay,1,0,1
SUB_0246,USR_00866,Annual Premium,2025-01-07,,Apple Pay,1,1,1
SUB_0247,USR_00227,Monthly Premium,2025-04-13,2025-05-13,Credit Card,1,1,1
SUB_0248,USR_00145,Monthly Premium,2025-06-17,2025-07-17,Credit Card,1,1,1
SUB_0249,USR_08141,Monthly Premium,2025-01-31,,Credit Card,1,1,1
SUB_0250,USR_08850,Monthly Premium,2025-07-01,,Google Pay,1,1,1
SUB_0251,USR_02025,Monthly Premium,2025-04-12,2025-05-12,PayPal,1,1,1
SUB_0252,USR_04322,Monthly Premium,2025-06-06,2025-07-06,Apple Pay,1,1,1
SUB_0253,USR_06534,Monthly Premium,2025-05-17,,Apple Pay,1,1,1
SUB_0254,USR_05888,Monthly Premium,2025-06-27,,PayPal,1,1,1
SUB_0255,USR_08601,Annual Premium,2025-01-20,,Apple Pay,1,1,1
SUB_0256,USR_09366,Annual Premium,2025-03-01,2025-03-31,Apple Pay,1,1,1
SUB_0257,USR_08188,Monthly Premium,2025-01-28,,Credit Card,1,1,1
SUB_0258,USR_07431,Monthly Premium,2025-04-22,2025-05-22,Apple Pay,1,1,1
SUB_0259,USR_03565,Monthly Premium,2025-03-10,,PayPal,1,1,1
SUB_0260,USR_01650,Annual Premium,2025-03-23,2025-04-22,Credit Card,1,1,1
SUB_0261,USR_03269,Monthly Premium,2025-01-25,,Credit Card,1,1,1
SUB_0262,USR_09664,Monthly Premium,2025-04-28,,Credit Card,1,1,1
SUB_0263,USR_02848,Monthly Premium,2025-06-29,,Apple Pay,1,0,1
SUB_0264,USR_02169,Monthly Premium,2025-03-13,2025-04-12,Credit Card,1,1,1
SUB_0265,USR_07838,Annual Premium,2025-04-06,,Credit Card,1,1,1
SUB_0266,USR_08196,Monthly Premium,2025-02-13,2025-03-15,Google Pay,1,1,1
SUB_0267,USR_00713,Annual Premium,2025-03-04,2025-04-03,Apple Pay,1,1,1
SUB_0268,USR_00544,Monthly Premium,2025-02-08,2025-03-10,Apple Pay,1,1,1
SUB_0269,USR_03849,Monthly Premium,2025-06-24,,Apple Pay,1,1,1
SUB_0270,USR_03280,Monthly Premium,2025-05-14,,Apple Pay,1,1,1
SUB_0271,USR_00552,Monthly Premium,2025-01-26,,Credit Card,1,1,1
SUB_0272,USR_02440,Monthly Premium,2025-05-29,,PayPal,1,1,1
SUB_0273,USR_02084,Monthly Premium,2025-03-17,,Apple Pay,1,1,1
SUB_0274,USR_09223,Monthly Premium,2025-02-11,2025-03-13,Google Pay,1,1,1
SUB_0275,USR_09354,Monthly Premium,2025-01-13,,PayPal,1,1,1
SUB_0276,USR_00904,Monthly Premium,2025-01-26,2025-02-25,Credit Card,1,1,1
SUB_0277,USR_02023,Annual Premium,2025-01-16,,Credit Card,1,1,1
SUB_0278,USR_05412,Monthly Premium,2025-06-16,2025-07-16,Credit Card,1,1,1
SUB_0279,USR_05163,Annual Premium,2025-06-30,2025-07-30,Credit Card,1,1,1
SUB_0280,USR_04488,Monthly Premium,2025-04-18,,Credit Card,1,1,1
SUB_0281,USR_05358,Monthly Premium,2025-03-15,,Apple Pay,1,1,1
SUB_0282,USR_00576,Monthly Premium,2025-02-14,,Google Pay,1,1,1
SUB_0283,USR_03684,Monthly Premium,2025-06-09,,PayPal,1,1,1
SUB_0284,USR_02366,Monthly Premium,2025-01-15,,Credit Card,1,1,1
SUB_0285,USR_05409,Monthly Premium,2025-03-02,,Credit Card,1,1,1
SUB_0286,USR_05635,Annual Premium,2025-06-29,2025-07-29,Apple Pay,1,1,1
SUB_0287,USR_06844,Annual Premium,2025-04-23,,Apple Pay,1,1,1
SUB_0288,USR_02172,Monthly Premium,2025-02-20,,Apple Pay,1,0,1
SUB_0289,USR_07503,Monthly Premium,2025-02-28,2025-03-30,Apple Pay,1,1,1
SUB_0290,USR_09318,Monthly Premium,2025-06-03,,Apple Pay,1,1,1
SUB_0291,USR_06644,Monthly Premium,2025-04-07,,Credit Card,1,1,1
SUB_0292,USR_01130,Monthly Premium,2025-02-15,2025-03-17,Apple Pay,1,1,1
SUB_0293,USR_01778,Monthly Premium,2025-01-16,,Credit Card,1,1,1
SUB_0294,USR_08670,Monthly Premium,2025-05-13,2025-06-12,Google Pay,1,1,1
SUB_0295,USR_02620,Monthly Premium,2025-02-24,,Credit Card,1,1,1
SUB_0296,USR_05694,Monthly Premium,2025-05-17,,Apple Pay,1,1,1
SUB_0297,USR_04100,Monthly Premium,2025-03-09,,Google Pay,1,1,1
SUB_0298,USR_03328,Monthly Premium,2025-05-22,,Google Pay,1,1,1
SUB_0299,USR_03454,Monthly Premium,2025-02-06,,Apple Pay,1,1,1
SUB_0300,USR_03791,Monthly Premium,2025-01-10,,Credit Card,1,0,1
SUB_0301,USR_07426,Monthly Premium,2025-02-21,,Apple Pay,1,1,1
SUB_0302,USR_08274,Monthly Premium,2025-05-01,,Apple Pay,1,1,1
SUB_0303,USR_09905,Monthly Premium,2025-03-27,2025-04-26,Credit Card,1,1,1
SUB_0304,USR_07573,Monthly Premium,2025-03-14,,Apple Pay,1,1,1
SUB_0305,USR_00250,Annual Premium,2025-02-23,,Credit Card,1,0,1
SUB_0306,USR_00593,Monthly Premium,2025-06-23,,Apple Pay,1,1,1
SUB_0307,USR_01598,Monthly Premium,2025-02-12,2025-03-14,Credit Card,1,1,1
SUB_0308,USR_04681,Monthly Premium,2025-06-23,2025-07-23,Apple Pay,1,1,1
SUB_0309,USR_04996,Monthly Premium,2025-02-20,2025-03-22,Credit Card,1,1,1
SUB_0310,USR_01966,Annual Premium,2025-03-04,,Apple Pay,1,1,1
SUB_0311,USR_00706,Monthly Premium,2025-05-30,,Credit Card,1,1,1
SUB_0312,USR_07660,Monthly Premium,2025-01-01,,Credit Card,1,1,1
SUB_0313,USR_02077,Monthly Premium,2025-03-25,2025-04-24,Credit Card,1,0,1
SUB_0314,USR_06727,Annual Premium,2025-02-10,,Google Pay,1,1,1
SUB_0315,USR_06472,Annual Premium,2025-03-09,,Google Pay,1,1,1
SUB_0316,USR_06864,Monthly Premium,2025-02-08,,Credit Card,1,1,1
SUB_0317,USR_06927,Annual Premium,2025-05-14,2025-06-13,Google Pay,1,1,1
SUB_0318,USR_03928,Monthly Premium,2025-06-07,,Credit Card,1,1,1
SUB_0319,USR_07055,Annual Premium,2025-05-12,,Credit Card,1,1,1
SUB_0320,USR_08558,Monthly Premium,2025-01-25,,Credit Card,1,1,1
SUB_0321,USR_08113,Monthly Premium,2025-04-17,,Credit Card,1,1,1
