user_id,total_sessions,returned_next_day,returned_after_7_days,returned_after_30_days,days_until_last_session,churned,churn_reason
USR_00198,12,0,0,0,57,0,Not Churned
USR_00199,7,0,0,0,10,0,Not Churned
USR_00200,24,0,0,1,85,0,Not Churned
USR_00201,1,0,0,0,0,1,Found another app
USR_00202,5,0,0,0,12,0,Not Churned
USR_00203,1,0,0,0,2,1,Just trying it out
USR_00204,1,0,0,0,1,1,Just trying it out
USR_00205,2,0,0,0,2,1,App crashes/Bugs
USR_00206,7,0,0,0,12,0,Not Churned
USR_00207,4,0,0,0,7,1,App crashes/Bugs
USR_00208,6,0,0,0,9,0,Not Churned
USR_00209,4,0,0,0,5,1,AI responses unhelpful
USR_00210,7,0,0,0,16,0,Not Churned
USR_00211,9,0,0,0,9,0,Not Churned
USR_00212,30,0,0,1,60,0,Not Churned
USR_00213,19,0,0,1,42,0,Not Churned
USR_00214,19,0,0,1,95,0,Not Churned
USR_00215,63,0,0,1,61,0,Not Churned
USR_00216,0,0,0,0,1,1,App crashes/Bugs
USR_00217,13,0,0,0,108,0,Not Churned
USR_00218,0,0,0,0,2,1,Found another app
USR_00219,34,0,0,1,108,0,Not Churned
USR_00220,5,0,0,0,14,0,Not Churned
USR_00221,6,0,0,0,6,0,Not Churned
USR_00222,61,0,0,1,70,0,Not Churned
USR_00223,35,0,0,1,85,0,Not Churned
USR_00224,1,0,0,0,1,1,AI responses unhelpful
USR_00225,1,0,0,0,1,1,Just trying it out
USR_00226,24,0,0,1,53,0,Not Churned
USR_00227,4,0,0,0,7,1,Slow response times
USR_00228,23,0,0,1,76,0,Not Churned
USR_00229,49,0,0,1,25,0,Not Churned
USR_00230,0,0,0,0,0,1,Found another app
USR_00231,3,0,0,0,11,1,App crashes/Bugs
USR_00232,0,0,0,0,0,1,Found another app
USR_00233,2,0,0,0,1,1,Too expensive
USR_00234,12,0,0,0,113,0,Not Churned
USR_00235,20,0,0,1,76,0,Not Churned
USR_00236,12,0,0,0,62,0,Not Churned
USR_00237,5,0,0,0,4,0,Not Churned
USR_00238,1,0,0,0,1,1,Slow response times
USR_00239,4,0,0,0,13,1,App crashes/Bugs
USR_00240,16,0,0,1,74,0,Not Churned
USR_00241,29,0,0,1,52,0,Not Churned
USR_00242,10,0,0,0,17,0,Not Churned
USR_00243,40,0,0,1,57,0,Not Churned
USR_00244,1,0,0,0,0,1,AI responses unhelpful
USR_00245,26,0,0,1,87,0,Not Churned
USR_00246,3,0,0,0,6,1,Just trying it out
USR_00247,27,0,0,1,106,0,Not Churned
USR_00248,40,0,0,1,40,0,Not Churned
USR_00249,17,0,0,1,92,0,Not Churned
USR_00250,2,0,0,0,1,1,Too expensive
USR_00251,2,0,0,0,1,1,Found another app
USR_00252,6,0,0,0,15,0,Not Churned
USR_00253,9,0,0,0,19,0,Not Churned
USR_00254,20,0,0,1,83,0,Not Churned
USR_00255,24,0,0,1,119,0,Not Churned
USR_00256,0,0,0,0,0,1,Slow response times
USR_00257,4,0,0,0,12,1,Just trying it out
USR_00258,9,0,0,0,19,0,Not Churned
USR_00259,16,0,0,1,87,0,Not Churned
USR_00260,3,0,0,0,11,1,Just trying it out
USR_00261,5,0,0,0,12,0,Not Churned
USR_00262,10,0,0,0,12,0,Not Churned
USR_00263,17,0,0,1,105,0,Not Churned
USR_00264,25,0,0,1,90,0,Not Churned
USR_00265,23,0,0,1,69,0,Not Churned
USR_00266,10,0,0,0,18,0,Not Churned
USR_00267,18,0,0,1,55,0,Not Churned
USR_00268,20,0,0,1,82,0,Not Churned
USR_00269,16,0,0,1,74,0,Not Churned
USR_00270,5,0,0,0,13,0,Not Churned
USR_00271,39,0,0,1,119,0,Not Churned
USR_00272,46,0,0,1,77,0,Not Churned
USR_00273,6,0,0,0,16,0,Not Churned
USR_00274,27,0,0,1,100,0,Not Churned
USR_00275,0,0,0,0,1,1,Just trying it out
USR_00276,0,0,0,0,1,1,AI responses unhelpful
USR_00277,8,0,0,0,17,0,Not Churned
USR_00278,5,0,0,0,15,0,Not Churned
USR_00279,10,0,0,0,14,0,Not Churned
USR_00280,7,0,0,0,17,0,Not Churned
USR_00281,4,0,0,0,15,1,App crashes/Bugs
USR_00282,6,0,0,0,14,0,Not Churned
USR_00283,31,0,0,1,38,0,Not Churned
USR_00284,7,0,0,0,9,0,Not Churned
USR_00285,13,0,0,0,78,0,Not Churned
USR_00286,17,0,0,1,103,0,Not Churned
USR_00287,21,0,0,1,53,0,Not Churned
USR_00288,7,0,0,0,7,0,Not Churned
USR_00289,3,0,0,0,9,1,Just trying it out
USR_00290,35,0,0,1,103,0,Not Churned
USR_00291,3,0,0,0,8,1,Just trying it out
USR_00292,5,0,0,0,8,0,Not Churned
USR_00293,24,0,0,1,117,0,Not Churned
USR_00294,20,0,0,1,90,0,Not Churned
USR_00295,37,0,0,1,107,0,Not Churned
USR_00296,0,0,0,0,2,1,Found another app
USR_00297,35,0,0,1,35,0,Not Churned
USR_00298,28,0,0,1,82,0,Not Churned
USR_00299,14,0,0,0,85,0,Not Churned
USR_00300,4,0,0,0,12,1,Too expensive
USR_00301,9,0,0,0,11,0,Not Churned
USR_00302,3,0,0,0,7,1,Slow response times
USR_00303,41,0,0,1,83,0,Not Churned
USR_00304,20,0,0,1,118,0,Not Churned
USR_00305,8,0,0,0,13,0,Not Churned
USR_00306,23,0,0,1,29,0,Not Churned
USR_00307,11,0,0,0,104,0,Not Churned
USR_00308,0,0,0,0,0,1,AI responses unhelpful
USR_00309,4,0,0,0,14,1,AI responses unhelpful
USR_00310,57,0,0,1,75,0,Not Churned
USR_00311,22,0,0,1,93,0,Not Churned
USR_00312,48,0,0,1,104,0,Not Churned
USR_00313,0,0,0,0,1,1,Found another app
USR_00314,8,0,0,0,15,0,Not Churned
USR_00315,2,0,0,0,1,1,Just trying it out
USR_00316,22,0,0,1,119,0,Not Churned
USR_00317,2,0,0,0,0,1,Slow response times
USR_00318,8,0,0,0,12,0,Not Churned
USR_00319,4,0,0,0,5,1,App crashes/Bugs
USR_00320,41,0,0,1,34,0,Not Churned
USR_00321,14,0,0,0,94,0,Not Churned
USR_00322,23,0,0,1,117,0,Not Churned
USR_00323,13,0,0,0,118,0,Not Churned
USR_00324,19,0,0,1,104,0,Not Churned
USR_00325,6,0,0,0,8,0,Not Churned
USR_00326,3,0,0,0,17,1,AI responses unhelpful
USR_00327,5,0,0,0,19,0,Not Churned
USR_00328,4,0,0,0,15,1,App crashes/Bugs
USR_00329,16,0,0,1,57,0,Not Churned
USR_00330,5,0,0,0,16,0,Not Churned
USR_00331,10,0,0,0,6,0,Not Churned
USR_00332,25,0,0,1,100,0,Not Churned
USR_00333,2,0,0,0,0,1,Slow response times
USR_00334,9,0,0,0,6,0,Not Churned
USR_00335,12,0,0,0,68,0,Not Churned
USR_00336,0,0,0,0,0,1,Found another app
USR_00337,3,0,0,0,17,1,Just trying it out
USR_00338,4,0,0,0,6,1,Just trying it out
USR_00339,23,0,0,1,42,0,Not Churned
USR_00340,9,0,0,0,4,0,Not Churned
USR_00341,8,0,0,0,13,0,Not Churned
USR_00342,31,0,0,1,55,0,Not Churned
USR_00343,50,0,0,1,109,0,Not Churned
USR_00344,25,0,0,1,99,0,Not Churned
USR_00345,0,0,0,0,0,1,AI responses unhelpful
USR_00346,4,0,0,0,19,1,Slow response times
USR_00347,0,0,0,0,1,1,Slow response times
USR_00348,0,0,0,0,2,1,Found another app
USR_00349,3,0,0,0,9,1,Just trying it out
USR_00350,8,0,0,0,18,0,Not Churned
USR_00351,5,0,0,0,16,0,Not Churned
USR_00352,5,0,0,0,15,0,Not Churned
USR_00353,24,0,0,1,24,0,Not Churned
USR_00354,33,0,0,1,91,0,Not Churned
USR_00355,4,0,0,0,9,1,App crashes/Bugs
USR_00356,18,0,0,1,114,0,Not Churned
USR_00357,8,0,0,0,12,0,Not Churned
USR_00358,12,0,0,0,71,0,Not Churned
USR_00359,15,0,0,0,75,0,Not Churned
USR_00360,8,0,0,0,6,0,Not Churned
USR_00361,9,0,0,0,6,0,Not Churned
USR_00362,0,0,0,0,2,1,Just trying it out
USR_00363,14,0,0,0,81,0,Not Churned
USR_00364,18,0,0,1,109,0,Not Churned
USR_00365,30,0,0,1,98,0,Not Churned
USR_00366,4,0,0,0,5,1,AI responses unhelpful
USR_00367,4,0,0,0,6,1,Too expensive
USR_00368,6,0,0,0,9,0,Not Churned
USR_00369,34,0,0,1,58,0,Not Churned
USR_00370,3,0,0,0,11,1,AI responses unhelpful
USR_00371,2,0,0,0,2,1,Slow response times
USR_00372,1,0,0,0,2,1,AI responses unhelpful
USR_00373,4,0,0,0,7,1,App crashes/Bugs
USR_00374,36,0,0,1,70,0,Not Churned
USR_00375,12,0,0,0,114,0,Not Churned
USR_00376,12,0,0,0,32,0,Not Churned
USR_00377,26,0,0,1,44,0,Not Churned
USR_00378,7,0,0,0,9,0,Not Churned
USR_00379,45,0,0,1,86,0,Not Churned
USR_00380,16,0,0,1,104,0,Not Churned
USR_00381,0,0,0,0,0,1,App crashes/Bugs
USR_00382,15,0,0,0,98,0,Not Churned
USR_00383,28,0,0,1,62,0,Not Churned
USR_00384,4,0,0,0,6,1,App crashes/Bugs
USR_00385,67,0,0,1,98,0,Not Churned
USR_00386,25,0,0,1,73,0,Not Churned
USR_00387,29,0,0,1,73,0,Not Churned
USR_00388,1,0,0,0,2,1,App crashes/Bugs
USR_00389,0,0,0,0,1,1,Found another app
USR_00390,5,0,0,0,11,0,Not Churned
USR_00391,16,0,0,1,116,0,Not Churned
USR_00392,1,0,0,0,1,1,Slow response times
USR_00393,29,0,0,1,44,0,Not Churned
USR_00394,33,0,0,1,42,0,Not Churned
USR_00395,9,0,0,0,15,0,Not Churned
USR_00396,8,0,0,0,9,0,Not Churned
USR_00397,11,0,0,0,89,0,Not Churned
USR_00398,1,0,0,0,1,1,Found another app
USR_00399,1,0,0,0,0,1,App crashes/Bugs
USR_00400,23,0,0,1,30,0,Not Churned
USR_00401,8,0,0,0,17,0,Not Churned
USR_00402,10,0,0,0,14,0,Not Churned
USR_00403,16,0,0,1,38,0,Not Churned
USR_00404,12,0,0,0,54,0,Not Churned
USR_00405,1,0,0,0,0,1,App crashes/Bugs
USR_00406,24,0,0,1,27,0,Not Churned
USR_00407,7,0,0,0,8,0,Not Churned
USR_00408,3,0,0,0,8,1,Slow response times
USR_00409,0,0,0,0,0,1,Slow response times
USR_00410,1,0,0,0,1,1,App crashes/Bugs
USR_00411,0,0,0,0,0,1,Slow response times
USR_00412,4,0,0,0,19,1,App crashes/Bugs
USR_00413,5,0,0,0,14,0,Not Churned
USR_00414,4,0,0,0,6,1,Found another app
USR_00415,11,0,0,0,55,0,Not Churned
USR_00416,2,0,0,0,0,1,Found another app
USR_00417,16,0,0,1,111,0,Not Churned
USR_00418,33,0,0,1,72,0,Not Churned
USR_00419,5,0,0,0,6,0,Not Churned
USR_00420,21,0,0,1,109,0,Not Churned
USR_00421,1,0,0,0,1,1,Too expensive
USR_00422,7,0,0,0,14,0,Not Churned
USR_00423,16,0,0,1,34,0,Not Churned
USR_00424,33,0,0,1,28,0,Not Churned
USR_00425,10,0,0,0,15,0,Not Churned
USR_00426,10,0,0,0,9,0,Not Churned
USR_00427,4,0,0,0,10,1,Just trying it out
USR_00428,9,0,0,0,16,0,Not Churned
USR_00429,14,0,0,0,116,0,Not Churned
USR_00430,9,0,0,0,4,0,Not Churned
USR_00431,15,0,0,0,69,0,Not Churned
USR_00432,21,0,0,1,93,0,Not Churned
USR_00433,6,0,0,0,19,0,Not Churned
USR_00434,19,0,0,1,73,0,Not Churned
USR_00435,21,0,0,1,57,0,Not Churned
USR_00436,29,0,0,1,60,0,Not Churned
USR_00437,0,0,0,0,2,1,Slow response times
USR_00438,2,0,0,0,0,1,AI responses unhelpful
USR_00439,44,0,0,1,56,0,Not Churned
USR_00440,5,0,0,0,16,0,Not Churned
USR_00441,7,0,0,0,6,0,Not Churned
USR_00442,0,0,0,0,2,1,AI responses unhelpful
USR_00443,28,0,0,1,62,0,Not Churned
USR_00444,0,0,0,0,2,1,Slow response times
USR_00445,3,0,0,0,4,1,Slow response times
USR_00446,6,0,0,0,4,0,Not Churned
USR_00447,1,0,0,0,1,1,Slow response times
USR_00448,16,0,0,1,105,0,Not Churned
USR_00449,17,0,0,1,110,0,Not Churned
USR_00450,14,0,0,0,93,0,Not Churned
USR_00451,30,0,0,1,71,0,Not Churned
USR_00452,19,0,0,1,83,0,Not Churned
USR_00453,2,0,0,0,1,1,App crashes/Bugs
USR_00454,1,0,0,0,0,1,AI responses unhelpful
USR_00455,20,0,0,1,52,0,Not Churned
USR_00456,19,0,0,1,24,0,Not Churned
USR_00457,30,0,0,1,112,0,Not Churned
USR_00458,4,0,0,0,9,1,Just trying it out
USR_00459,1,0,0,0,2,1,Found another app
USR_00460,15,0,0,0,32,0,Not Churned
USR_00461,2,0,0,0,1,1,Too expensive
USR_00462,4,0,0,0,9,1,Found another app
USR_00463,18,0,0,1,76,0,Not Churned
USR_00464,9,0,0,0,19,0,Not Churned
USR_00465,0,0,0,0,2,1,App crashes/Bugs
USR_00466,15,0,0,0,52,0,Not Churned
USR_00467,6,0,0,0,15,0,Not Churned
USR_00468,3,0,0,0,18,1,Found another app
USR_00469,0,0,0,0,1,1,Found another app
USR_00470,13,0,0,0,42,0,Not Churned
USR_00471,11,0,0,0,38,0,Not Churned
USR_00472,0,0,0,0,0,1,Too expensive
USR_00473,1,0,0,0,2,1,App crashes/Bugs
USR_00474,7,0,0,0,12,0,Not Churned
USR_00475,16,0,0,1,90,0,Not Churned
USR_00476,46,0,0,1,40,0,Not Churned
USR_00477,1,0,0,0,2,1,Slow response times
USR_00478,24,0,0,1,51,0,Not Churned
USR_00479,2,0,0,0,0,1,Just trying it out
USR_00480,0,0,0,0,0,1,AI responses unhelpful
USR_00481,4,0,0,0,17,1,Just trying it out
USR_00482,13,0,0,0,49,0,Not Churned
USR_00483,13,0,0,0,44,0,Not Churned
USR_00484,1,0,0,0,0,1,Too expensive
USR_00485,51,0,0,1,79,0,Not Churned
USR_00486,0,0,0,0,2,1,App crashes/Bugs
USR_00487,3,0,0,0,6,1,Found another app
USR_00488,6,0,0,0,4,0,Not Churned
USR_00489,48,0,0,1,53,0,Not Churned
USR_00490,70,0,0,1,65,0,Not Churned
USR_00491,0,0,0,0,0,1,AI responses unhelpful
USR_00492,5,0,0,0,4,0,Not Churned
USR_00493,10,0,0,0,17,0,Not Churned
USR_00494,14,0,0,0,93,0,Not Churned
USR_00495,16,0,0,1,71,0,Not Churned
USR_00496,7,0,0,0,16,0,Not Churned
USR_00497,4,0,0,0,8,1,App crashes/Bugs
USR_00498,0,0,0,0,2,1,Slow response times
USR_00499,32,0,0,1,96,0,Not Churned
USR_00500,7,0,0,0,7,0,Not Churned
USR_00501,28,0,0,1,39,0,Not Churned
USR_00502,3,0,0,0,16,1,Slow response times
USR_00503,26,0,0,1,46,0,Not Churned
USR_00504,2,0,0,0,0,1,Just trying it out
USR_00505,39,0,0,1,22,0,Not Churned
USR_00506,33,0,0,1,45,0,Not Churned
USR_00507,5,0,0,0,4,0,Not Churned
USR_00508,5,0,0,0,19,0,Not Churned
USR_00509,6,0,0,0,9,0,Not Churned
USR_00510,36,0,0,1,98,0,Not Churned
USR_00511,3,0,0,0,11,1,Slow response times
USR_00512,3,0,0,0,19,1,App crashes/Bugs
USR_00513,55,0,0,1,51,0,Not Churned
USR_00514,14,0,0,0,40,0,Not Churned
USR_00515,19,0,0,1,52,0,Not Churned
USR_00516,12,0,0,0,51,0,Not Churned
USR_00517,14,0,0,0,83,0,Not Churned
USR_00518,24,0,0,1,51,0,Not Churned
USR_00519,19,0,0,1,62,0,Not Churned
USR_00520,20,0,0,1,30,0,Not Churned
USR_00521,3,0,0,0,14,1,Found another app
USR_00522,57,0,0,1,31,0,Not Churned
USR_00523,33,0,0,1,50,0,Not Churned
USR_00524,2,0,0,0,0,1,Found another app
USR_00525,2,0,0,0,1,1,Found another app
USR_00526,23,0,0,1,60,0,Not Churned
USR_00527,0,0,0,0,1,1,Found another app
USR_00528,4,0,0,0,5,1,App crashes/Bugs
USR_00529,18,0,0,1,27,0,Not Churned
USR_00530,1,0,0,0,2,1,AI responses unhelpful
USR_00531,32,0,0,1,72,0,Not Churned
USR_00532,35,0,0,1,38,0,Not Churned
USR_00533,69,0,0,1,40,0,Not Churned
USR_00534,3,0,0,0,16,1,AI responses unhelpful
USR_00535,0,0,0,0,0,1,App crashes/Bugs
USR_00536,14,0,0,0,52,0,Not Churned
USR_00537,18,0,0,1,31,0,Not Churned
USR_00538,6,0,0,0,16,0,Not Churned
USR_00539,6,0,0,0,9,0,Not Churned
USR_00540,8,0,0,0,15,0,Not Churned
USR_00541,17,0,0,1,39,0,Not Churned
USR_00542,9,0,0,0,9,0,Not Churned
USR_00543,5,0,0,0,12,0,Not Churned
USR_00544,19,0,0,1,101,0,Not Churned
USR_00545,18,0,0,1,82,0,Not Churned
USR_00546,10,0,0,0,11,0,Not Churned
USR_00547,18,0,0,1,61,0,Not Churned
USR_00548,2,0,0,0,2,1,Just trying it out
USR_00549,22,0,0,1,98,0,Not Churned
USR_00550,3,0,0,0,12,1,Found another app
USR_00551,5,0,0,0,7,0,Not Churned
USR_00552,15,0,0,0,110,0,Not Churned
USR_00553,10,0,0,0,10,0,Not Churned
USR_00554,3,0,0,0,9,1,Slow response times
USR_00555,3,0,0,0,5,1,App crashes/Bugs
USR_00556,14,0,0,0,44,0,Not Churned
USR_00557,41,0,0,1,54,0,Not Churned
USR_00558,20,0,0,1,59,0,Not Churned
USR_00559,18,0,0,1,76,0,Not Churned
USR_00560,19,0,0,1,83,0,Not Churned
USR_00561,59,0,0,1,49,0,Not Churned
USR_00562,7,0,0,0,10,0,Not Churned
USR_00563,7,0,0,0,18,0,Not Churned
USR_00564,4,0,0,0,17,1,Found another app
USR_00565,0,0,0,0,0,1,Just trying it out
USR_00566,8,0,0,0,13,0,Not Churned
USR_00567,0,0,0,0,2,1,Too expensive
USR_00568,21,0,0,1,34,0,Not Churned
USR_00569,24,0,0,1,74,0,Not Churned
