user_id,signup_date,country,age_group,gender,device_type,operating_system,subscription_type,preferred_language,referral_source
USR_00077,2025-01-15,US,45+,Female,Mobile,Android,Premium,English,TikTok
USR_00078,2025-02-09,IN,25-34,Female,Mobile,iOS,Free,Spanish,App Store
USR_00079,2025-03-23,US,25-34,Female,Tablet,iOS,Premium,Spanish,App Store
USR_00080,2025-04-21,DE,35-44,Female,Mobile,iOS,Free,English,Google Ads
USR_00081,2025-02-22,IN,25-34,Male,Desktop,Windows,Free,English,TikTok
USR_00082,2025-01-24,IN,35-44,Prefer not to say,Mobile,iOS,Premium,Hindi,App Store
USR_00083,2025-06-03,US,18-24,Male,Desktop,Windows,Free,English,Organic
USR_00084,2025-05-04,UK,25-34,Male,Tablet,Android,Premium,English,Google Ads
USR_00085,2025-02-10,CA,18-24,Male,Mobile,iOS,Free,English,App Store
USR_00086,2025-06-06,IN,25-34,Male,Mobile,Android,Free,Hindi,Instagram
USR_00087,2025-01-15,US,25-34,Female,Mobile,Android,Premium,English,TikTok
USR_00088,2025-02-14,DE,45+,Female,Mobile,iOS,Free,English,Google Ads
USR_00089,2025-03-06,IN,25-34,Male,Mobile,iOS,Free,English,TikTok
USR_00090,2025-03-30,US,35-44,Female,Mobile,Android,Free,English,App Store
USR_00091,2025-03-12,IN,25-34,Male,Mobile,iOS,Free,English,Instagram
USR_00092,2025-01-09,UK,35-44,Female,Mobile,Android,Free,English,Google Ads
USR_00093,2025-03-29,UK,25-34,Male,Mobile,iOS,Premium,Spanish,Organic
USR_00094,2025-05-09,US,25-34,Prefer not to say,Mobile,iOS,Free,English,App Store
USR_00095,2025-05-16,CA,18-24,Female,Mobile,iOS,Premium,English,Instagram
USR_00096,2025-03-04,IN,25-34,Female,Mobile,Android,Premium,English,Instagram
USR_00097,2025-05-19,UK,25-34,Male,Mobile,Android,Free,English,Google Ads
USR_00098,2025-03-22,CA,25-34,Female,Mobile,iOS,Free,English,Instagram
USR_00099,2025-05-16,AU,45+,Female,Mobile,Android,Free,English,App Store
USR_00100,2025-06-12,IN,35-44,Male,Mobile,iOS,Free,English,Google Ads
USR_00101,2025-06-12,US,45+,Prefer not to say,Mobile,Android,Premium,Spanish,TikTok
USR_00102,2025-02-02,IN,25-34,Male,Desktop,Windows,Free,English,Organic
USR_00103,2025-05-03,UK,45+,Female,Mobile,Android,Free,English,App Store
USR_00104,2025-01-05,US,35-44,Female,Desktop,Windows,Free,English,Organic
USR_00105,2025-02-10,US,18-24,Female,Mobile,iOS,Premium,English,App Store
USR_00106,2025-01-28,UK,25-34,Female,Mobile,Android,Free,English,Instagram
USR_00107,2025-05-15,IN,18-24,Female,Mobile,iOS,Free,English,TikTok
USR_00108,2025-03-13,US,18-24,Female,Mobile,iOS,Free,English,App Store
USR_00109,2025-01-12,IN,18-24,Non-binary,Mobile,Android,Premium,English,Instagram
USR_00110,2025-06-11,US,18-24,Male,Tablet,Android,Free,English,Google Ads
USR_00111,2025-02-02,UK,35-44,Male,Mobile,iOS,Free,English,TikTok
USR_00112,2025-02-17,DE,25-34,Non-binary,Mobile,iOS,Premium,English,Instagram
USR_00113,2025-05-31,IN,25-34,Female,Mobile,iOS,Free,Spanish,Instagram
USR_00114,2025-03-03,US,35-44,Female,Tablet,Android,Free,English,TikTok
USR_00115,2025-02-06,UK,35-44,Male,Mobile,Android,Premium,Spanish,App Store
USR_00116,2025-04-09,US,45+,Prefer not to say,Mobile,Android,Free,English,TikTok
USR_00117,2025-06-21,UK,25-34,Male,Mobile,Android,Free,English,TikTok
USR_00118,2025-04-14,IN,25-34,Female,Desktop,MacOS,Free,Spanish,Instagram
USR_00119,2025-02-04,IN,25-34,Male,Mobile,iOS,Premium,Hindi,Google Ads
USR_00120,2025-04-11,US,18-24,Female,Mobile,iOS,Premium,English,App Store
USR_00121,2025-06-24,DE,18-24,Female,Mobile,Android,Premium,English,App Store
USR_00122,2025-05-11,CA,25-34,Female,Mobile,iOS,Premium,English,App Store
USR_00123,2025-01-01,US,45+,Non-binary,Mobile,Android,Free,Hindi,Google Ads
USR_00124,2025-01-05,UK,18-24,Female,Mobile,Android,Premium,German,App Store
USR_00125,2025-05-22,CA,18-24,Male,Mobile,iOS,Free,English,Instagram
USR_00126,2025-04-13,CA,18-24,Female,Mobile,iOS,Free,English,App Store
USR_00127,2025-01-27,UK,35-44,Female,Mobile,iOS,Premium,English,TikTok
USR_00128,2025-05-17,UK,25-34,Non-binary,Mobile,Android,Free,English,Instagram
USR_00129,2025-01-15,US,25-34,Female,Mobile,Android,Free,English,App Store
USR_00130,2025-03-31,IN,18-24,Male,Mobile,iOS,Free,English,App Store
USR_00131,2025-02-11,UK,25-34,Female,Mobile,Android,Free,English,App Store
USR_00132,2025-05-04,US,18-24,Male,Mobile,Android,Free,English,TikTok
USR_00133,2025-06-28,IN,25-34,Female,Mobile,iOS,Premium,English,TikTok
USR_00134,2025-03-04,DE,18-24,Female,Mobile,iOS,Premium,English,App Store
USR_00135,2025-04-06,DE,35-44,Male,Mobile,iOS,Premium,English,TikTok
USR_00136,2025-02-21,US,25-34,Female,Mobile,iOS,Free,English,App Store
USR_00137,2025-04-06,US,35-44,Female,Mobile,iOS,Free,English,Instagram
USR_00138,2025-05-12,UK,25-34,Male,Tablet,iOS,Free,English,App Store
USR_00139,2025-05-31,US,25-34,Female,Mobile,Android,Free,Spanish,Instagram
USR_00140,2025-05-23,DE,18-24,Female,Mobile,iOS,Free,English,Google Ads
USR_00141,2025-06-20,US,25-34,Male,Tablet,iOS,Free,English,Google Ads
USR_00142,2025-01-29,US,25-34,Non-binary,Mobile,iOS,Free,Hindi,TikTok
USR_00143,2025-02-05,UK,25-34,Female,Mobile,Android,Free,English,App Store
USR_00144,2025-01-13,US,35-44,Male,Mobile,Android,Free,English,App Store
USR_00145,2025-06-09,IN,35-44,Male,Mobile,Android,Premium,English,TikTok
USR_00146,2025-03-12,UK,35-44,Female,Desktop,Windows,Free,English,App Store
USR_00147,2025-03-27,US,18-24,Female,Desktop,Windows,Free,English,Google Ads
USR_00148,2025-01-28,US,25-34,Female,Mobile,iOS,Free,Spanish,App Store
USR_00149,2025-03-07,UK,18-24,Male,Mobile,Android,Premium,English,Instagram
USR_00150,2025-06-19,US,25-34,Female,Mobile,iOS,Free,English,App Store
USR_00151,2025-02-14,CA,25-34,Male,Mobile,Android,Free,English,TikTok
USR_00152,2025-03-03,CA,18-24,Male,Mobile,iOS,Free,English,App Store
USR_00153,2025-05-14,IN,35-44,Female,Mobile,Android,Free,English,App Store
USR_00154,2025-01-28,DE,25-34,Female,Mobile,iOS,Free,English,App Store
USR_00155,2025-01-28,DE,25-34,Prefer not to say,Mobile,iOS,Free,English,App Store
USR_00156,2025-04-18,DE,18-24,Female,Mobile,iOS,Premium,English,Google Ads
USR_00157,2025-02-13,US,25-34,Female,Mobile,Android,Premium,English,App Store
USR_00158,2025-03-25,US,45+,Male,Mobile,iOS,Premium,English,Google Ads
USR_00159,2025-01-30,US,25-34,Female,Tablet,iOS,Free,English,Google Ads
USR_00160,2025-03-16,IN,45+,Female,Mobile,iOS,Premium,Spanish,Instagram
USR_00161,2025-05-08,DE,18-24,Female,Tablet,iOS,Free,English,TikTok
USR_00162,2025-04-02,IN,25-34,Female,Mobile,iOS,Free,Hindi,App Store
USR_00163,2025-05-09,US,35-44,Female,Mobile,iOS,Free,Spanish,TikTok
USR_00164,2025-05-01,DE,25-34,Male,Mobile,Android,Free,English,Instagram
USR_00165,2025-01-27,UK,18-24,Prefer not to say,Tablet,Android,Premium,English,Instagram
USR_00166,2025-05-01,US,25-34,Female,Mobile,iOS,Free,English,TikTok
USR_00167,2025-04-26,UK,25-34,Female,Mobile,iOS,Free,English,Google Ads
USR_00168,2025-01-03,US,35-44,Female,Mobile,iOS,Free,English,Google Ads
USR_00169,2025-04-13,UK,35-44,Female,Desktop,Windows,Free,English,App Store
USR_00170,2025-06-04,US,35-44,Female,Mobile,Android,Free,English,TikTok
USR_00171,2025-05-17,UK,25-34,Female,Mobile,iOS,Free,English,App Store
USR_00172,2025-03-03,CA,18-24,Non-binary,Mobile,Android,Free,English,App Store
USR_00173,2025-06-14,IN,25-34,Female,Mobile,iOS,Free,English,Instagram
USR_00174,2025-02-20,AU,35-44,Female,Desktop,Windows,Free,Spanish,Instagram
USR_00175,2025-06-21,UK,45+,Female,Mobile,Android,Premium,English,Instagram
USR_00176,2025-06-01,IN,18-24,Female,Desktop,Windows,Free,Hindi,Google Ads
USR_00177,2025-02-28,DE,25-34,Male,Mobile,iOS,Free,English,Organic
USR_00178,2025-04-28,US,25-34,Female,Desktop,Windows,Premium,English,TikTok
USR_00179,2025-06-09,UK,18-24,Prefer not to say,Mobile,iOS,Free,English,TikTok
USR_00180,2025-04-06,US,25-34,Female,Mobile,iOS,Free,English,App Store
USR_00181,2025-06-29,US,25-34,Male,Mobile,Android,Free,English,Organic
USR_00182,2025-04-23,AU,18-24,Prefer not to say,Mobile,Android,Free,English,Google Ads
USR_00183,2025-03-03,IN,35-44,Female,Mobile,Android,Free,English,Google Ads
USR_00184,2025-02-21,US,35-44,Female,Desktop,Windows,Free,English,Google Ads
USR_00185,2025-01-12,IN,45+,Male,Mobile,Android,Free,English,TikTok
USR_00186,2025-02-08,IN,18-24,Female,Mobile,Android,Free,English,TikTok
USR_00187,2025-05-10,DE,25-34,Male,Desktop,Windows,Free,English,Organic
USR_00188,2025-05-11,US,25-34,Female,Mobile,iOS,Free,English,App Store
USR_00189,2025-04-23,DE,25-34,Female,Mobile,Android,Premium,English,App Store
USR_00190,2025-04-11,US,25-34,Female,Mobile,Android,Premium,German,TikTok
USR_00191,2025-04-23,CA,35-44,Non-binary,Desktop,Windows,Premium,English,Google Ads
USR_00192,2025-03-22,US,18-24,Female,Mobile,iOS,Free,English,App Store
USR_00193,2025-04-23,US,45+,Female,Mobile,Android,Premium,English,Google Ads
USR_00194,2025-01-02,IN,35-44,Male,Mobile,iOS,Free,English,TikTok
USR_00195,2025-05-10,UK,35-44,Female,Mobile,iOS,Premium,English,Instagram
USR_00196,2025-02-23,US,35-44,Female,Mobile,Android,Premium,Spanish,App Store
USR_00197,2025-03-28,US,25-34,Female,Mobile,iOS,Free,English,App Store
USR_00198,2025-05-09,AU,35-44,Male,Mobile,Android,Premium,English,Google Ads
USR_00199,2025-05-27,US,25-34,Male,Mobile,Android,Free,English,TikTok
USR_00200,2025-05-06,IN,35-44,Female,Mobile,iOS,Free,English,TikTok
USR_00201,2025-05-10,US,18-24,Female,Mobile,iOS,Free,Hindi,Instagram
USR_00202,2025-02-22,US,18-24,Male,Mobile,iOS,Premium,German,Organic
USR_00203,2025-06-21,US,25-34,Male,Mobile,iOS,Free,English,Organic
USR_00204,2025-06-09,UK,25-34,Female,Mobile,Android,Premium,English,Google Ads
USR_00205,2025-06-09,US,25-34,Female,Mobile,iOS,Premium,English,TikTok
USR_00206,2025-03-09,US,25-34,Female,Mobile,Android,Premium,English,Instagram
USR_00207,2025-05-03,DE,35-44,Male,Mobile,Android,Free,English,TikTok
USR_00208,2025-05-25,CA,25-34,Prefer not to say,Tablet,iOS,Free,English,Instagram
USR_00209,2025-02-07,US,25-34,Female,Mobile,Android,Free,English,App Store
USR_00210,2025-01-24,UK,18-24,Female,Mobile,Android,Free,English,App Store
USR_00211,2025-03-10,IN,25-34,Female,Mobile,Android,Premium,English,Google Ads
USR_00212,2025-04-26,US,25-34,Female,Desktop,Windows,Free,English,Google Ads
USR_00213,2025-04-08,US,35-44,Female,Mobile,Android,Premium,English,TikTok
USR_00214,2025-05-19,IN,18-24,Non-binary,Mobile,iOS,Premium,Hindi,App Store
USR_00215,2025-05-24,CA,18-24,Female,Mobile,Android,Premium,Spanish,TikTok
USR_00216,2025-04-07,CA,25-34,Male,Mobile,iOS,Free,English,App Store
USR_00217,2025-05-04,US,25-34,Female,Desktop,Windows,Premium,English,Instagram
USR_00218,2025-03-11,US,25-34,Male,Mobile,iOS,Free,English,Organic
USR_00219,2025-04-03,CA,35-44,Female,Mobile,iOS,Premium,German,TikTok
USR_00220,2025-01-03,US,25-34,Female,Mobile,iOS,Free,English,App Store
USR_00221,2025-05-28,UK,25-34,Non-binary,Desktop,Windows,Free,English,App Store
USR_00222,2025-06-13,UK,25-34,Female,Tablet,Android,Free,English,TikTok
USR_00223,2025-05-27,US,18-24,Male,Mobile,iOS,Free,English,Organic
USR_00224,2025-03-31,DE,35-44,Male,Tablet,iOS,Free,Hindi,TikTok
USR_00225,2025-05-27,IN,25-34,Female,Mobile,Android,Free,German,Instagram
USR_00226,2025-05-28,IN,25-34,Male,Mobile,iOS,Free,English,TikTok
USR_00227,2025-04-06,US,35-44,Male,Mobile,Android,Premium,Spanish,TikTok
USR_00228,2025-02-21,US,18-24,Prefer not to say,Mobile,iOS,Premium,English,TikTok
USR_00229,2025-06-10,UK,35-44,Male,Mobile,iOS,Free,English,TikTok
USR_00230,2025-06-17,US,25-34,Female,Tablet,iOS,Premium,English,Instagram
USR_00231,2025-05-08,DE,25-34,Male,Mobile,Android,Premium,English,App Store
USR_00232,2025-02-08,US,35-44,Male,Mobile,Android,Free,English,Organic
USR_00233,2025-03-23,UK,35-44,Male,Mobile,Android,Premium,English,Instagram
USR_00234,2025-04-14,US,25-34,Male,Mobile,iOS,Free,Spanish,Instagram
USR_00235,2025-05-09,CA,35-44,Female,Mobile,Android,Free,English,Instagram
USR_00236,2025-01-11,US,25-34,Female,Mobile,Android,Premium,English,App Store
USR_00237,2025-06-27,UK,25-34,Male,Mobile,iOS,Free,English,Instagram
USR_00238,2025-05-31,US,18-24,Prefer not to say,Mobile,Android,Premium,English,Organic
USR_00239,2025-06-08,IN,18-24,Female,Mobile,Android,Premium,English,Instagram
USR_00240,2025-02-11,US,35-44,Prefer not to say,Mobile,iOS,Premium,English,Google Ads
USR_00241,2025-04-09,DE,18-24,Non-binary,Mobile,iOS,Free,Spanish,Instagram
USR_00242,2025-01-07,IN,18-24,Non-binary,Mobile,Android,Free,English,App Store
USR_00243,2025-05-24,US,35-44,Non-binary,Mobile,iOS,Premium,English,TikTok
USR_00244,2025-03-31,IN,18-24,Male,Mobile,Android,Premium,English,Organic
USR_00245,2025-04-22,US,18-24,Male,Mobile,iOS,Free,English,App Store
USR_00246,2025-03-01,DE,25-34,Male,Desktop,Windows,Free,English,App Store
USR_00247,2025-04-23,UK,25-34,Female,Mobile,iOS,Premium,English,App Store
USR_00248,2025-01-02,US,35-44,Female,Mobile,Android,Premium,Spanish,Google Ads
USR_00249,2025-05-09,US,25-34,Female,Mobile,iOS,Free,English,Google Ads
USR_00250,2025-02-17,US,25-34,Female,Mobile,iOS,Premium,English,TikTok
USR_00251,2025-05-20,DE,35-44,Female,Mobile,iOS,Free,English,Organic
USR_00252,2025-02-06,US,25-34,Non-binary,Mobile,Android,Free,English,Instagram
USR_00253,2025-06-09,AU,25-34,Male,Mobile,Android,Free,German,Google Ads
USR_00254,2025-01-09,UK,35-44,Female,Mobile,Android,Free,English,TikTok
USR_00255,2025-04-09,DE,25-34,Male,Mobile,Android,Premium,Spanish,Instagram
USR_00256,2025-05-27,US,25-34,Female,Mobile,iOS,Free,English,TikTok
USR_00257,2025-02-17,UK,18-24,Female,Mobile,iOS,Free,Hindi,Organic
USR_00258,2025-05-11,UK,25-34,Male,Mobile,iOS,Free,English,Organic
USR_00259,2025-05-28,IN,18-24,Female,Tablet,Android,Free,Spanish,App Store
USR_00260,2025-06-01,US,25-34,Male,Mobile,Android,Premium,English,Instagram
USR_00261,2025-02-23,US,35-44,Female,Mobile,Android,Free,English,TikTok
USR_00262,2025-04-30,US,25-34,Female,Mobile,Android,Premium,English,App Store
USR_00263,2025-06-10,IN,18-24,Male,Mobile,Android,Premium,English,Instagram
USR_00264,2025-06-01,US,35-44,Female,Mobile,iOS,Free,English,Instagram
USR_00265,2025-04-26,CA,18-24,Prefer not to say,Mobile,iOS,Free,English,TikTok
USR_00266,2025-03-16,US,35-44,Female,Mobile,Android,Free,English,Instagram
USR_00267,2025-04-23,IN,25-34,Female,Mobile,Android,Free,English,Organic
USR_00268,2025-06-13,DE,18-24,Non-binary,Mobile,iOS,Free,English,Instagram
USR_00269,2025-06-15,UK,45+,Non-binary,Mobile,Android,Free,English,Google Ads
USR_00270,2025-04-14,US,18-24,Female,Mobile,iOS,Free,English,Instagram
USR_00271,2025-03-25,US,45+,Female,Mobile,iOS,Free,Spanish,Instagram
USR_00272,2025-04-22,US,18-24,Male,Mobile,Android,Free,German,Organic
USR_00273,2025-04-09,US,18-24,Female,Mobile,Android,Free,English,Instagram
USR_00274,2025-06-02,AU,18-24,Female,Mobile,iOS,Free,English,Instagram
USR_00275,2025-04-03,UK,18-24,Male,Mobile,iOS,Premium,English,Google Ads
USR_00276,2025-05-26,DE,35-44,Male,Mobile,Android,Free,English,Organic
USR_00277,2025-05-08,US,25-34,Female,Desktop,Windows,Free,English,Google Ads
USR_00278,2025-04-20,AU,35-44,Female,Mobile,iOS,Premium,Spanish,Instagram
USR_00279,2025-03-23,UK,18-24,Non-binary,Mobile,iOS,Free,German,Organic
USR_00280,2025-02-23,UK,25-34,Male,Desktop,Windows,Free,English,Google Ads
USR_00281,2025-06-12,US,25-34,Male,Mobile,Android,Free,German,Organic
USR_00282,2025-06-18,UK,25-34,Female,Mobile,iOS,Free,German,Instagram
USR_00283,2025-06-10,UK,25-34,Female,Desktop,Windows,Free,English,Organic
USR_00284,2025-03-09,IN,25-34,Female,Tablet,Android,Free,English,Google Ads
USR_00285,2025-02-02,DE,18-24,Female,Mobile,Android,Free,English,Instagram
USR_00286,2025-05-22,US,35-44,Female,Mobile,iOS,Premium,English,App Store
USR_00287,2025-01-21,US,35-44,Female,Mobile,iOS,Free,English,App Store
USR_00288,2025-02-17,UK,25-34,Male,Mobile,iOS,Free,English,Instagram
USR_00289,2025-05-28,UK,18-24,Male,Tablet,iOS,Free,Spanish,App Store
USR_00290,2025-05-08,US,18-24,Female,Mobile,iOS,Free,Hindi,Instagram
USR_00291,2025-05-16,IN,25-34,Male,Mobile,iOS,Premium,Spanish,Instagram
USR_00292,2025-05-15,DE,18-24,Male,Mobile,Android,Free,Hindi,Google Ads
USR_00293,2025-05-25,DE,18-24,Female,Mobile,Android,Free,English,App Store
USR_00294,2025-05-08,US,35-44,Female,Mobile,Android,Free,English,App Store
USR_00295,2025-02-02,IN,25-34,Male,Mobile,Android,Free,English,App Store
USR_00296,2025-06-25,IN,25-34,Female,Mobile,Android,Free,English,TikTok
USR_00297,2025-04-25,UK,18-24,Female,Mobile,iOS,Premium,English,Instagram
USR_00298,2025-04-29,UK,45+,Female,Mobile,iOS,Free,English,TikTok
USR_00299,2025-01-22,IN,18-24,Female,Mobile,Android,Premium,English,Instagram
USR_00300,2025-06-07,UK,35-44,Prefer not to say,Desktop,MacOS,Free,German,App Store
USR_00301,2025-02-07,US,45+,Male,Mobile,iOS,Free,Hindi,TikTok
USR_00302,2025-04-19,UK,35-44,Female,Desktop,Windows,Free,English,TikTok
USR_00303,2025-02-20,CA,45+,Non-binary,Mobile,Android,Free,English,Instagram
USR_00304,2025-01-08,US,25-34,Male,Mobile,iOS,Free,English,TikTok
USR_00305,2025-01-27,DE,18-24,Male,Mobile,iOS,Free,English,App Store
USR_00306,2025-01-27,AU,18-24,Female,Tablet,iOS,Free,Spanish,App Store
USR_00307,2025-01-21,CA,25-34,Male,Mobile,iOS,Free,English,App Store
USR_00308,2025-01-30,US,18-24,Female,Mobile,iOS,Free,English,Organic
USR_00309,2025-04-07,CA,25-34,Female,Desktop,Windows,Premium,English,App Store
USR_00310,2025-01-28,US,18-24,Female,Mobile,Android,Premium,English,Instagram
USR_00311,2025-04-21,US,35-44,Female,Mobile,iOS,Premium,Hindi,Google Ads
USR_00312,2025-03-02,UK,25-34,Female,Mobile,Android,Free,English,Google Ads
USR_00313,2025-02-17,UK,25-34,Female,Mobile,iOS,Premium,Hindi,TikTok
USR_00314,2025-05-27,CA,45+,Male,Mobile,iOS,Premium,English,App Store
USR_00315,2025-01-04,US,18-24,Female,Mobile,Android,Premium,English,Instagram
USR_00316,2025-02-04,UK,35-44,Male,Mobile,Android,Premium,English,Instagram
USR_00317,2025-02-18,US,35-44,Male,Mobile,Android,Free,German,Instagram
USR_00318,2025-01-17,DE,18-24,Female,Mobile,iOS,Free,English,Instagram
USR_00319,2025-06-21,CA,25-34,Female,Mobile,iOS,Premium,Spanish,Instagram
USR_00320,2025-06-07,AU,25-34,Non-binary,Mobile,Android,Free,English,Instagram
USR_00321,2025-02-15,US,35-44,Female,Mobile,iOS,Free,English,TikTok
USR_00322,2025-04-27,US,25-34,Male,Mobile,Android,Premium,English,App Store
USR_00323,2025-01-06,DE,25-34,Male,Desktop,Windows,Premium,English,Instagram
USR_00324,2025-04-09,US,35-44,Female,Mobile,Android,Premium,German,App Store
USR_00325,2025-05-04,UK,18-24,Female,Mobile,Android,Premium,English,App Store
USR_00326,2025-02-06,CA,35-44,Female,Mobile,iOS,Premium,English,Google Ads
USR_00327,2025-01-24,US,35-44,Male,Mobile,iOS,Premium,English,TikTok
USR_00328,2025-04-03,IN,35-44,Male,Mobile,Android,Premium,English,App Store
USR_00329,2025-02-15,UK,35-44,Non-binary,Mobile,Android,Free,English,App Store
